state,year,month,T2M_MAX,T2M_MIN,RH2M,PRECTOTCORR,Coal,Solar,Total Generation,Wind
Mizoram,2024,1,20.934838709677415,8.923548387096774,76.48516129032258,3.33,0.0,0.675,24.6,0.0
Mizoram,2024,2,25.38379310344828,13.114482758620689,64.62655172413794,36.46,0.0,0.8,20.0,0.0
Mizoram,2024,3,29.62,16.703548387096774,59.18741935483871,114.53,0.0,0.91,17.1,0.0
Mizoram,2024,4,33.56966666666667,21.48633333333333,65.60233333333333,84.67,0.0,1.6,12.38,0.0
Mizoram,2024,5,30.16322580645161,22.38225806451613,83.4341935483871,518.98,0.0,1.31,15.55,0.0
Mizoram,2024,6,29.559,23.76966666666667,91.389,633.32,0.0,0.825,27.18,0.0
Mizoram,2024,7,29.524516129032257,23.843870967741932,91.6148387096774,403.69,0.0,0.5349999999999999,48.84,0.0
Mizoram,2024,8,27.80354838709677,22.99290322580645,93.85935483870968,873.37,0.0,5.255,46.45,0.0
Mizoram,2024,9,28.799,23.613666666666667,92.87666666666668,359.29999999999995,0.0,5.38,44.85,0.0
Mizoram,2024,10,27.56870967741936,21.21193548387097,91.68870967741935,295.18,0.0,4.395,48.82,0.0
Mizoram,2024,11,25.13133333333333,16.501333333333335,88.55266666666667,21.65,0.0,9.5,17.89,0.0
Mizoram,2024,12,22.42774193548387,12.178064516129032,83.21129032258065,1.86,0.0,9.795,17.25,0.0
Mizoram,2025,1,21.44,9.87,85.88,0.0,0.0,10.445,16.01,0.0
Nagaland,2024,1,17.80516129032258,5.2622580645161285,65.8474193548387,0.59,0.0,0.0,7.53,0.0
Nagaland,2024,2,19.582758620689653,6.522413793103448,69.39241379310344,44.9,0.0,0.0,5.86,0.0
Nagaland,2024,3,23.50258064516129,10.074193548387097,66.37096774193549,59.82,0.0,0.0,4.76,0.0
Nagaland,2024,4,27.80133333333333,14.488,68.16766666666666,67.1,0.0,0.0,7.86,0.0
Nagaland,2024,5,28.06870967741936,16.82,72.84612903225806,235.02,0.0,0.0,5.97,0.0
Nagaland,2024,6,28.874333333333333,18.898000000000003,79.64133333333332,286.07,0.0,0.0,23.54,0.0
Nagaland,2024,7,28.228387096774195,19.595161290322583,84.04806451612903,399.81,0.0,0.0,63.94,0.0
Nagaland,2024,8,27.404516129032256,18.825806451612905,85.19354838709677,321.58,0.0,0.0,69.52,0.0
Nagaland,2024,9,27.833666666666662,19.034666666666663,81.93933333333332,209.26,0.0,0.0,60.72,0.0
Nagaland,2024,10,24.91709677419355,15.919354838709678,84.39709677419354,125.74,0.0,0.0,23.65,0.0
Nagaland,2024,11,21.35833333333333,11.061,78.43166666666666,14.14,0.0,0.0,20.74,0.0
Nagaland,2024,12,18.325483870967744,6.779677419354838,73.10258064516128,0.02,0.0,0.0,20.19,0.0
Nagaland,2025,1,17.76,7.44,71.32,0.0,0.0,0.0,7.54,0.0
Odisha,2024,1,26.767419354838708,13.416451612903227,69.56129032258065,22.67,2924.69,31.64,6294.02,0.0
Odisha,2024,2,31.941379310344825,17.576206896551724,57.56206896551724,9.13,2799.94,35.905,6037.88,0.0
Odisha,2024,3,36.307096774193546,21.565806451612904,55.88806451612904,54.35,2976.295,38.595,6348.93,0.0
Odisha,2024,4,42.48066666666667,26.44633333333333,42.269666666666666,13.59,2851.57,37.385,6149.99,0.0
Odisha,2024,5,39.80258064516129,27.41290322580645,60.39709677419355,132.32999999999998,2920.7250000000004,41.125,6230.87,0.0
Odisha,2024,6,35.817,27.422666666666665,72.21733333333333,183.67,2602.625,35.265,5583.94,0.0
Odisha,2024,7,32.134193548387096,26.153548387096773,85.33387096774193,274.05,2703.015,22.88,5924.32,0.0
Odisha,2024,8,30.73709677419355,25.84225806451613,88.77806451612904,289.36,2749.515,27.13,6252.31,0.0
Odisha,2024,9,30.777,25.52433333333333,89.35266666666666,305.19,2705.04,29.125,6388.58,0.0
Odisha,2024,10,30.532258064516128,23.858064516129037,86.95258064516128,126.74,3069.74,34.685,7212.5,0.0
Odisha,2024,11,27.086333333333336,17.634333333333334,80.873,5.17,3115.4700000000003,33.875,6762.3,0.0
Odisha,2024,12,25.21516129032258,15.516774193548386,81.56161290322581,67.26,3186.65,28.525,6635.86,0.0
Odisha,2025,1,23.28,12.0,69.99,0.0,2969.15,28.545,6284.04,0.0
Punjab,2024,1,20.651612903225807,8.215806451612902,49.37548387096775,1.92,1500.2800000000002,19.9,3356.83,0.0
Punjab,2024,2,22.349655172413797,9.49103448275862,47.306896551724144,44.5,1256.06,51.66,2898.95,0.0
Punjab,2024,3,28.767419354838708,14.60516129032258,43.75322580645161,61.68,1318.255,68.185,3091.03,0.0
Punjab,2024,4,34.92966666666667,20.244333333333334,33.72233333333333,20.61,1513.26,65.60000000000001,3484.35,0.0
Punjab,2024,5,41.61451612903225,26.20741935483871,22.43032258064516,8.0,1694.555,69.77999999999999,4018.37,0.0
Punjab,2024,6,42.634,29.608,29.497333333333334,59.85,1656.255,61.85,3976.34,0.0
Punjab,2024,7,35.344193548387096,26.86258064516129,71.79838709677419,318.63,1734.425,69.11,4225.44,0.0
Punjab,2024,8,30.81451612903226,25.351935483870967,86.14258064516129,401.39,1424.485,61.795,3463.26,0.0
Punjab,2024,9,30.751666666666665,23.884666666666664,83.69866666666667,223.22,1537.305,59.945,3705.62,0.0
Punjab,2024,10,30.501290322580644,19.831612903225807,66.68161290322581,3.2700000000000005,1483.965,63.605,3407.12,0.0
Punjab,2024,11,26.994,15.483,55.576,0.0,1051.485,36.97,2415.41,0.0
